,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close
0,2012-03-05,AAPL,B,77.8,100,7780.0,76.17
7,2012-03-06,AAPL,,,,,75.75
8,2012-03-07,AAPL,,,,,75.81
9,2012-03-08,AAPL,,,,,77.43
10,2012-03-09,AAPL,,,,,77.88
11,2012-03-12,AAPL,,,,,78.86
12,2012-03-13,AAPL,,,,,81.16
13,2012-03-14,AAPL,,,,,84.23
14,2012-03-15,AAPL,,,,,83.65
15,2012-03-16,AAPL,,,,,83.65
16,2012-03-19,AAPL,,,,,85.87
17,2012-03-20,AAPL,,,,,86.57
18,2012-03-21,AAPL,,,,,86.07
19,2012-03-22,AAPL,,,,,85.62
20,2012-03-23,AAPL,,,,,85.15
21,2012-03-26,AAPL,,,,,86.71
22,2012-03-27,AAPL,,,,,87.78
23,2012-03-28,AAPL,,,,,88.23
24,2012-03-29,AAPL,,,,,87.12
25,2012-03-30,AAPL,,,,,85.65
26,2012-04-02,AAPL,,,,,88.38
27,2012-04-03,AAPL,,,,,89.9
28,2012-04-04,AAPL,,,,,89.19
29,2012-04-05,AAPL,,,,,90.53
30,2012-04-09,AAPL,,,,,90.89
31,2012-04-10,AAPL,,,,,89.78
32,2012-04-11,AAPL,,,,,89.46
33,2012-04-12,AAPL,,,,,88.97
34,2012-04-13,AAPL,,,,,86.46
35,2012-04-16,AAPL,,,,,82.88
36,2012-04-17,AAPL,,,,,87.1
37,2012-04-18,AAPL,,,,,86.91
38,2012-04-19,AAPL,,,,,83.92
39,2012-04-20,AAPL,,,,,81.85
40,2012-04-23,AAPL,,,,,81.67
41,2012-04-24,AAPL,,,,,80.04
42,2012-04-25,AAPL,,,,,87.14
43,2012-04-26,AAPL,,,,,86.81
44,2012-04-27,AAPL,,,,,86.14
45,2012-04-30,AAPL,,,,,83.43
46,2012-05-01,AAPL,,,,,83.16
47,2012-05-02,AAPL,,,,,83.71
48,2012-05-03,AAPL,,,,,83.12
49,2012-05-04,AAPL,,,,,80.75
50,2012-05-07,AAPL,,,,,81.35
51,2012-05-08,AAPL,,,,,81.17
52,2012-05-09,AAPL,,,,,81.31
53,2012-05-10,AAPL,,,,,81.5
54,2012-05-11,AAPL,,,,,80.96
55,2012-05-14,AAPL,,,,,79.75
56,2012-05-15,AAPL,,,,,79.02
57,2012-05-16,AAPL,,,,,78.01
58,2012-05-17,AAPL,,,,,75.73
59,2012-05-18,AAPL,,,,,75.77
60,2012-05-21,AAPL,,,,,80.18
61,2012-05-22,AAPL,,,,,79.57
62,2012-05-23,AAPL,,,,,81.51
63,2012-05-24,AAPL,,,,,80.76
64,2012-05-25,AAPL,,,,,80.33
65,2012-05-29,AAPL,,,,,81.75
66,2012-05-30,AAPL,,,,,82.74
67,2012-05-31,AAPL,,,,,82.53
68,2012-06-01,AAPL,,,,,80.14
69,2012-06-04,AAPL,,,,,80.61
70,2012-06-05,AAPL,,,,,80.4
71,2012-06-06,AAPL,,,,,81.64
72,2012-06-07,AAPL,,,,,81.67
73,2012-06-08,AAPL,,,,,82.9
74,2012-06-11,AAPL,,,,,81.6
75,2012-06-12,AAPL,,,,,82.31
76,2012-06-13,AAPL,,,,,81.74
77,2012-06-14,AAPL,,,,,81.65
78,2012-06-15,AAPL,,,,,82.02
79,2012-06-18,AAPL,,,,,83.68
80,2012-06-19,AAPL,,,,,83.92
81,2012-06-20,AAPL,,,,,83.68
82,2012-06-21,AAPL,,,,,82.52
83,2012-06-22,AAPL,,,,,83.16
84,2012-06-25,AAPL,,,,,81.54
85,2012-06-26,AAPL,,,,,81.72
86,2012-06-27,AAPL,,,,,82.07
87,2012-06-28,AAPL,,,,,81.29
