,Date,Ticker,Transaction,Transaction Price,Number of shares,Transaction Cost,Close,Net Shares,Cummulative Shares,Avg Price per Share,Cummulative Contributions,Daily Balance,Unrealized Gains(Losses)
46,2012-05-09,AAPL,,,0.0,,81.31,-0.0,100.0,77.8,7780.0,8131.0,351.0
47,2012-05-10,AAPL,,,0.0,,81.5,-0.0,100.0,77.8,7780.0,8150.0,370.0
48,2012-05-11,AAPL,,,0.0,,80.96,-0.0,100.0,77.8,7780.0,8095.999999999999,315.9999999999991
49,2012-05-14,AAPL,,,0.0,,79.75,-0.0,100.0,77.8,7780.0,7975.0,195.0
50,2012-05-15,AAPL,,,0.0,,79.02,-0.0,100.0,77.8,7780.0,7902.0,122.0
51,2012-05-16,AAPL,,,0.0,,78.01,-0.0,100.0,77.8,7780.0,7801.000000000001,21.00000000000091
52,2012-05-17,AAPL,,,0.0,,75.73,-0.0,100.0,77.8,7780.0,7573.0,-207.0
53,2012-05-18,AAPL,,,0.0,,75.77,-0.0,100.0,77.8,7780.0,7577.0,-203.0
54,2012-05-21,AAPL,,,0.0,,80.18,-0.0,100.0,77.8,7780.0,8018.000000000001,238.0000000000009
55,2012-05-22,AAPL,,,0.0,,79.57,-0.0,100.0,77.8,7780.0,7956.999999999999,176.9999999999991
56,2012-05-23,AAPL,,,0.0,,81.51,-0.0,100.0,77.8,7780.0,8151.000000000001,371.0000000000009
57,2012-05-24,AAPL,,,0.0,,80.76,-0.0,100.0,77.8,7780.0,8076.000000000001,296.0000000000009
58,2012-05-25,AAPL,,,0.0,,80.33,-0.0,100.0,77.8,7780.0,8033.0,253.0
59,2012-05-29,AAPL,,,0.0,,81.75,-0.0,100.0,77.8,7780.0,8175.0,395.0
60,2012-05-30,AAPL,,,0.0,,82.74,-0.0,100.0,77.8,7780.0,8274.0,494.0
61,2012-05-31,AAPL,,,0.0,,82.53,-0.0,100.0,77.8,7780.0,8253.0,473.0
62,2012-06-01,AAPL,,,0.0,,80.14,-0.0,100.0,77.8,7780.0,8014.0,234.0
63,2012-06-04,AAPL,,,0.0,,80.61,-0.0,100.0,77.8,7780.0,8061.0,281.0
64,2012-06-05,AAPL,,,0.0,,80.4,-0.0,100.0,77.8,7780.0,8040.000000000001,260.0000000000009
65,2012-06-06,AAPL,,,0.0,,81.64,-0.0,100.0,77.8,7780.0,8164.0,384.0
66,2012-06-07,AAPL,,,0.0,,81.67,-0.0,100.0,77.8,7780.0,8167.0,387.0
67,2012-06-08,AAPL,,,0.0,,82.9,-0.0,100.0,77.8,7780.0,8290.0,510.0
68,2012-06-11,AAPL,,,0.0,,81.6,-0.0,100.0,77.8,7780.0,8159.999999999999,379.9999999999991
69,2012-06-12,AAPL,,,0.0,,82.31,-0.0,100.0,77.8,7780.0,8231.0,451.0
70,2012-06-13,AAPL,,,0.0,,81.74,-0.0,100.0,77.8,7780.0,8173.999999999999,393.9999999999991
71,2012-06-14,AAPL,,,0.0,,81.65,-0.0,100.0,77.8,7780.0,8165.000000000001,385.0000000000009
72,2012-06-15,AAPL,,,0.0,,82.02,-0.0,100.0,77.8,7780.0,8202.0,422.0
73,2012-06-18,AAPL,,,0.0,,83.68,-0.0,100.0,77.8,7780.0,8368.0,588.0
74,2012-06-19,AAPL,,,0.0,,83.92,-0.0,100.0,77.8,7780.0,8392.0,612.0
75,2012-06-20,AAPL,,,0.0,,83.68,-0.0,100.0,77.8,7780.0,8368.0,588.0
76,2012-06-21,AAPL,,,0.0,,82.52,-0.0,100.0,77.8,7780.0,8252.0,472.0
77,2012-06-22,AAPL,,,0.0,,83.16,-0.0,100.0,77.8,7780.0,8316.0,536.0
78,2012-06-25,AAPL,,,0.0,,81.54,-0.0,100.0,77.8,7780.0,8154.000000000001,374.0000000000009
79,2012-06-26,AAPL,,,0.0,,81.72,-0.0,100.0,77.8,7780.0,8172.0,392.0
80,2012-06-27,AAPL,,,0.0,,82.07,-0.0,100.0,77.8,7780.0,8207.0,427.0
81,2012-06-28,AAPL,,,0.0,,81.29,-0.0,100.0,77.8,7780.0,8129.000000000001,349.0000000000009
82,2012-06-29,AAPL,,,0.0,,83.43,-0.0,100.0,77.8,7780.0,8343.0,563.0
83,2012-07-02,AAPL,,,0.0,,84.65,-0.0,100.0,77.8,7780.0,8465.0,685.0
84,2012-07-03,AAPL,,,0.0,,85.63,-0.0,100.0,77.8,7780.0,8563.0,783.0
85,2012-07-05,AAPL,,,0.0,,87.13,-0.0,100.0,77.8,7780.0,8713.0,933.0
86,2012-07-06,AAPL,,,0.0,,86.55,-0.0,100.0,77.8,7780.0,8655.0,875.0
87,2012-07-09,AAPL,,,0.0,,87.7,-0.0,100.0,77.8,7780.0,8770.0,990.0
88,2012-07-10,AAPL,,,0.0,,86.89,-0.0,100.0,77.8,7780.0,8689.0,909.0
89,2012-07-11,AAPL,,,0.0,,86.35,-0.0,100.0,77.8,7780.0,8635.0,855.0
90,2012-07-12,AAPL,,,0.0,,85.56,-0.0,100.0,77.8,7780.0,8556.0,776.0
91,2012-07-13,AAPL,,,0.0,,86.42,-0.0,100.0,77.8,7780.0,8642.0,862.0
92,2012-07-16,AAPL,,,0.0,,86.7,-0.0,100.0,77.8,7780.0,8670.0,890.0
