MO,,SHOP,,SWKS,,MDB,,NVDA,
Date,Close,Date,Close,Date,Close,Date,Close,Date,Close
4/20/2020 16:00:00,39.07,4/20/2020 16:00:00,629.9,4/20/2020 16:00:00,92.53,4/20/2020 16:00:00,160.28,4/20/2020 16:00:00,287.05
4/21/2020 16:00:00,37.76,4/21/2020 16:00:00,585,4/21/2020 16:00:00,88.1,4/21/2020 16:00:00,152.24,4/21/2020 16:00:00,269.51
4/22/2020 16:00:00,37.81,4/22/2020 16:00:00,626.56,4/22/2020 16:00:00,92.94,4/22/2020 16:00:00,158.33,4/22/2020 16:00:00,286.15
4/23/2020 16:00:00,38.45,4/23/2020 16:00:00,620.49,4/23/2020 16:00:00,92.79,4/23/2020 16:00:00,158.09,4/23/2020 16:00:00,284.01
4/24/2020 16:00:00,39.42,4/24/2020 16:00:00,643.19,4/24/2020 16:00:00,96.51,4/24/2020 16:00:00,159.94,4/24/2020 16:00:00,289.59
4/27/2020 16:00:00,39.75,4/27/2020 16:00:00,628.58,4/27/2020 16:00:00,98.38,4/27/2020 16:00:00,160.38,4/27/2020 16:00:00,297.08
4/28/2020 16:00:00,40.71,4/28/2020 16:00:00,633.65,4/28/2020 16:00:00,100.67,4/28/2020 16:00:00,154.75,4/28/2020 16:00:00,291.36
4/29/2020 16:00:00,40.47,4/29/2020 16:00:00,639.99,4/29/2020 16:00:00,106.22,4/29/2020 16:00:00,159.07,4/29/2020 16:00:00,298.46
4/30/2020 16:00:00,39.25,4/30/2020 16:00:00,632.29,4/30/2020 16:00:00,103.88,4/30/2020 16:00:00,162.13,4/30/2020 16:00:00,292.28
5/1/2020 16:00:00,37.91,5/1/2020 16:00:00,613.64,5/1/2020 16:00:00,98.83,5/1/2020 16:00:00,155.92,5/1/2020 16:00:00,282.78
5/4/2020 16:00:00,38.01,5/4/2020 16:00:00,658.89,5/4/2020 16:00:00,99.62,5/4/2020 16:00:00,159.95,5/4/2020 16:00:00,291.29
5/5/2020 16:00:00,36.8,5/5/2020 16:00:00,686.11,5/5/2020 16:00:00,104.71,5/5/2020 16:00:00,167.82,5/5/2020 16:00:00,293.74
5/6/2020 16:00:00,35.73,5/6/2020 16:00:00,733.53,5/6/2020 16:00:00,105.9,5/6/2020 16:00:00,170.61,5/6/2020 16:00:00,297.79
5/7/2020 16:00:00,35.1,5/7/2020 16:00:00,722.76,5/7/2020 16:00:00,106.19,5/7/2020 16:00:00,175.43,5/7/2020 16:00:00,304.87
5/8/2020 16:00:00,36.74,5/8/2020 16:00:00,708.97,5/8/2020 16:00:00,111.22,5/8/2020 16:00:00,176.49,5/8/2020 16:00:00,312.5
5/11/2020 16:00:00,36.42,5/11/2020 16:00:00,750.34,5/11/2020 16:00:00,110.41,5/11/2020 16:00:00,187.44,5/11/2020 16:00:00,322.62
5/12/2020 16:00:00,36.08,5/12/2020 16:00:00,742.28,5/12/2020 16:00:00,108.15,5/12/2020 16:00:00,193,5/12/2020 16:00:00,312.1
